Fis each locus for each pop 
Eur
"n"	"Ho"	"Hs"	"Fis"	"Xi"	"p"
"X2137"	176	0.82	0.82	0	0	"Non Significant"
"X2010"	173	0.69	0.74	0.07	0.8477	"Non Significant"
"CXX253"	176	0.77	0.82	0.06	0.6336	"Non Significant"
"vWf"	180	0.71	0.89	0.2	7.2	"**"
"X2079"	174	0.66	0.7	0.05	0.435	"Non Significant"
"PEZ03"	179	0.73	0.86	0.15	4.0275	"*"
"AHT119"	170	0.66	0.84	0.21	7.497	"**"
"X2201"	175	0.7	0.89	0.21	7.7175	"**"
"X2096"	173	0.66	0.77	0.14	3.3908	"Non Significant"
"CXX250"	170	0.79	0.83	0.04	0.272	"Non Significant"
"CXX225"	171	0.63	0.71	0.12	2.4624	"Non Significant"
"X2140"	168	0.71	0.88	0.19	6.0648	"*"
"X2054"	170	0.68	0.82	0.17	4.913	"*"
"X2168"	160	0.69	0.8	0.14	3.136	"Non Significant"
"X2159"	162	0.65	0.9	0.28	12.7008	"***"
"AHT138"	174	0.6	0.88	0.31	16.7214	"***"
"CXX204"	182	0.68	0.74	0.09	1.4742	"Non Significant"
"AHT106"	174	0.51	0.65	0.22	8.4216	"**"
"X2001"	175	0.7	0.81	0.13	2.9575	"Non Significant"
Cau
"n"	"Ho"	"Hs"	"Fis"	"Xi"	"p"
"X2137"	95	0.87	0.84	-0.04	0.152	"Non Significant"
"X2010"	92	0.54	0.61	0.11	1.1132	"Non Significant"
"CXX253"	94	0.74	0.78	0.05	0.235	"Non Significant"
"vWf"	91	0.73	0.88	0.18	2.9484	"Non Significant"
"X2079"	93	0.57	0.68	0.16	2.3808	"Non Significant"
"PEZ03"	95	0.74	0.86	0.15	2.1375	"Non Significant"
"AHT119"	91	0.58	0.81	0.28	7.1344	"**"
"X2201"	95	0.68	0.85	0.19	3.4295	"Non Significant"
"X2096"	95	0.59	0.73	0.19	3.4295	"Non Significant"
"CXX250"	94	0.85	0.82	-0.03	0.0846	"Non Significant"
"CXX225"	93	0.65	0.73	0.12	1.3392	"Non Significant"
"X2140"	91	0.63	0.85	0.27	6.6339	"**"
"X2054"	90	0.76	0.79	0.04	0.144	"Non Significant"
