Deviation from Hardy-Weinber Equilibrium for each locus for each pop 
Eur
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
48.1896811546744	45	0.345118598499329	0.144
200.745848034	28	0	0.004
104.006647243676	55	7.32793999621562e-05	0.003
863.983133964388	210	0	0
19.4485865295043	15	0.194120836721402	0.047
301.871370699497	91	0	0
198.129270661499	55	0	0
356.788516151403	153	0	0
32.2330536803587	21	0.0554439233388352	0.001
26.444823237589	21	0.189993208244781	0.128
46.6891988636115	15	4.12859231923024e-05	0.013
97.443502105846	55	0.000369190936552299	0
90.3540152387869	36	1.44241537602952e-06	0
96.6657018560511	45	1.22348094968583e-05	0
248.712013416771	78	0	0
495.936179481604	66	0	0
18.5598939795786	28	0.911163710189983	0.44
375.259052099266	66	0	0
56.3775320033975	55	0.423186026758676	0.096
Cau
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
39.1150219758685	36	0.33172827152399	0.26
13.2038438486581	21	0.901316285534795	0.472
57.5749992957217	36	0.0126602988885143	0.027
324.244157100599	136	0	0
12.2936843593965	6	0.0557287455772761	0.035
46.7665963519038	45	0.399765725175809	0.251
131.882799279319	55	2.92968241888403e-08	0
229.535689864181	120	7.08151681738656e-09	0.001
35.3418144344045	15	0.0021977812465539	0.002
222.001684373627	45	0	0.049
121.814504409935	21	3.33066907387547e-16	0.006
105.777085447936	66	0.00136752879186886	0
61.7382698690148	45	0.0492804291892128	0.171
37.2373873141443	36	0.411908692690113	0.128
256.097576817333	91	0	0
60.0252078747878	36	0.00722751118576204	0.002
22.0701624775403	21	0.395476365965998	0.157
206.508151518843	66	2.22044604925031e-16	0
50.6968302933403	28	0.00540164614930383	0.02
Kz
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
49.5618232587153	45	0.296227790288579	0.114
17.3602976775314	21	0.689047756206312	0.3
38.3150671273801	36	0.364876436768746	0.469
344.510282738561	136	0	0
7.18927233682607	10	0.707463826962194	0.634
56.0385822603067	55	0.435681190879598	0.354
96.8464507878179	45	1.16201642333946e-05	0
172.908760750361	91	4.94786562832417e-07	0
16.6912079903978	10	0.0814821661948121	0.175
119.679155328798	55	1.06565264235137e-06	0.121
10.1336222083439	15	0.81125155111012	0.472
114.239783607166	55	4.88195680414805e-06	0
76.0766251137977	36	0.000108600846713713	0.026
55.7903707069413	36	0.0187431346974753	0.116
240.26903429463	55	0	0
67.822656004188	45	0.0155284506446558	0.002
14.3196238792914	21	0.855482476202839	0.557
177.84006940063	45	0	0
28.9774589003722	28	0.413671931699704	0.586
TrUr
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
74.6271102106315	55	0.0402360193105089	0.022
80.9441161382094	21	5.61136026533404e-09	0
100.128544170974	45	4.50462541945473e-06	0
542.557537959486	171	0	0
12.7251936044152	10	0.239444973298881	0.097
106.885305931403	45	5.99664676914635e-07	0.067
215.36857130315	66	0	0
395.619215480619	153	0	0
45.3479495876468	21	0.00155876415988798	0.018
80.3138425112206	45	0.000943797690062476	0
46.0966577460751	21	0.00124054553790676	0
61.6050311981702	45	0.0504536616925159	0.002
51.6426856497695	28	0.00421635598566483	0.001
40.2040912821475	45	0.674981228239087	0.254
389.25532107306	105	0	0
111.918671281936	45	1.26688838752997e-07	0
150.301741255747	28	0	0
223.630925873011	91	3.66262575823839e-13	0
167.434255832166	55	2.75002243199651e-13	0
FarEast
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
50.8830512921422	45	0.253150573256908	0.095
19.2362650046168	28	0.890687971372608	0.48
47.5086094946235	36	0.0949855538545967	0.154
37.7986666666667	55	0.962929483783039	0.741
11.1672791000057	15	0.740648585355805	0.713
56.1495772895935	36	0.0173392725319633	0.256
25.3466050290627	21	0.232464596164755	0.055
84.7736111111111	66	0.05968493824341	0.001
1.07890810365081	3	0.782168035448989	0.719
18.0908587257618	15	0.257918983671675	0.112
10.1325595619049	10	0.428941429669036	0.265
49.2519863631727	45	0.306911540089717	0.016
11.1210386695235	15	0.743967884519149	0.619
8.780625	6	0.186296638589606	0.063
55.8833333333333	55	0.441443526338549	0.02
62.2763605442177	21	5.74247682694207e-06	0
6.81691811084911	6	0.338110999379998	0.24
51.3049309664694	28	0.0046083178696813	0.19
37.215588686455	28	0.114181783629055	0.048
Sib
"chi^2"	"df"	"Pr(chi^2 >)"	"Pr.exact"
64.6923011527423	36	0.00232908498314077	0.305
132.382123692452	36	6.0551563763056e-13	0.008
41.4375586561155	45	0.623652785993649	0.128
425.720665680473	136	0	0
12.5561891550209	15	0.636535291676471	0.256
24.2311111111111	28	0.669279918212333	0.648
15.7557782526665	21	0.783212182681944	0.747
77.5603286200239	55	0.0242112235912617	0.026
11.7951276858666	10	0.299001868299028	0.146
28.9318663171002	28	0.415989907908947	0.727
8.79531391979816	15	0.887974248982836	0.779
